antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'gender_Masculin', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'disability_Non_Handicapé', 'score_cat_Score_Faible'})",0.1638081796704814,0.3653852054122051,0.12913815850029148,0.7883498782543548,2.1575856563896365,1.0,0.06928507312319324,2.9984145029241036,0.6416218950111324,0.32280082828437767,0.6664904071719292,0.570890028555341
"frozenset({'disability_Non_Handicapé', 'gender_Masculin', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'score_cat_Score_Faible'})",0.14638112478139478,0.4129107477065628,0.12913815850029148,0.8822049884720184,2.136551284683348,1.0,0.06869581881667809,4.983990787708166,0.6231774154533866,0.30021398002853067,0.799357574563287,0.5974778843385504
"frozenset({'gender_Masculin', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'score_cat_Score_Faible'})",0.1638081796704814,0.4129107477065628,0.1442947872242506,0.8808765686458138,2.133334076524967,1.0,0.07665662927606115,4.928411191815503,0.6353209280252657,0.3336880942244927,0.7970948524626604,0.615167070175188
"frozenset({'disability_Non_Handicapé', 'highest_education_Inférieur_A_Level', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'score_cat_Score_Faible'})",0.13809713742214585,0.4129107477065628,0.11695762893872917,0.8469229060208843,2.051104047848022,1.0,0.059935836669614974,3.8352521401636595,0.5945654840585998,0.269456421856224,0.7392609498792099,0.565087251791836
"frozenset({'highest_education_Inférieur_A_Level', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'score_cat_Score_Faible'})",0.15816279569232658,0.4129107477065628,0.13370969226521032,0.8453928225024248,2.0473984443321096,1.0,0.06840257403653142,3.7972962303295703,0.6076890914243104,0.30571729217818305,0.7366547302754916,0.5846075421770558
"frozenset({'imd_band_cat_IMD_Faible', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'score_cat_Score_Faible'})",0.16709109317951706,0.4129107477065628,0.14079710367256773,0.8426367976496512,2.0407238182341416,1.0,0.07180339545270639,3.7307912111902684,0.612285189382748,0.3205728257073,0.7319603420849271,0.591811785657936
"frozenset({'disability_Non_Handicapé', 'imd_band_cat_IMD_Faible', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'score_cat_Score_Faible'})",0.14506182309084772,0.4129107477065628,0.12220415426625349,0.8424280879864636,2.0402183587266167,1.0,0.06230656843013442,3.725849644085062,0.596366380191356,0.2804337111877772,0.7316048430490101,0.5691929413033819
"frozenset({'highest_education_Inférieur_A_Level', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'disability_Non_Handicapé', 'score_cat_Score_Faible'})",0.15816279569232658,0.3653852054122051,0.11695762893872917,0.7394762366634335,2.02382643224211,1.0,0.0591672833461198,2.435919036560002,0.6009314847929209,0.28765469363115,0.589477324577997,0.5297851415914363
frozenset({'clicks_cat_Clicks_Faible'}),"frozenset({'at_risk_À_Risque', 'disability_Non_Handicapé', 'score_cat_Score_Faible'})",0.3338753720123953,0.3653852054122051,0.24471512287914582,0.7329535011946333,2.0059747639966985,1.0,0.12272200149432037,2.376420576291942,0.7528459705494817,0.5383732703341209,0.5791990651922589,0.701349535885754
"frozenset({'imd_band_cat_IMD_Faible', 'clicks_cat_Clicks_Faible'})","frozenset({'at_risk_À_Risque', 'disability_Non_Handicapé', 'score_cat_Score_Faible'})",0.16709109317951706,0.3653852054122051,0.12220415426625349,0.731362467866324,2.0016203640244434,1.0,0.061151540862305745,2.3623459817670076,0.6007917060036929,0.2978612025127131,0.5766919800409542,0.5329077013107756
...
